# Load the data sets
data;

set V_3 := 1 2 3;

set D_1 := s;

set CC_25 := c4, c5, c9, c10, c11, 
			 c12, c16, c19, c22, c23, 
			 c25, c32, c33, c34, c36, 
			 c38, c43, c44, c49, c50, 
			 c52, c53, c54, c57, c60;

param: X    Y :=
s   10     10
c4   5.885 -7.841
c5	 4.474 -1.775
c9	-9.533 -0.455
c10	 4.646	3.855
c11	-0.448	7.224
c12	-1.238 -5.104
c16	 8.258 -4.128
c19	-0.429	5.326
c22	-3.066 -3.325
c23	-0.473	7.844
c25	 5.546	9.212
c32	 2.846	7.525
c33  5.578	5.946
c34	-0.895 -1.798
c36	 3.094 -2.936
c38	 2.67  -5.736
c43	-7.036 -9.738
c44	 4.311 -7.936
c49	 0.223 -5.849
c50	-5.427	1.914
c52	-9.289	2.856
c53	 8.572	1.962
c54	 1.218	0.521
c57	-5.223 -4.837
c60	-7.9	7.291;
